MODEL,THREADS,LPS,SEC,CKPT,COMMIT/sec,%STRAG,%ANTI,%USELESS,%SILENT,TIME EVT,TIME FORWARD,TIME SILENT,POSTING,IPI,END
MODEL_NAME:PHOLD_NEARS_RANDOM;LOOP:100;NUM_NEARS:1;COEFF:0.10,8,8,2.00,50,4528.77,0.65,1.96,29.80,58.01,37045.71,43187.04,32600.49,Attempt 21439;Success 10090,Empty,Empty
MODEL_NAME:PHOLD_NEARS;LOOP:100;NUM_NEARS:1,8,8,2.00,50,834.39,0.37,1.93,52.09,45.95,31069.56,31734.70,30287.19,Attempt 21675;Success 9523,Empty,Empty
MODEL_NAME:PHOLD_MULTICAST;LOOP:100;THR_PROB_NORMAL:1.00,8,8,2.00,50,3739.95,1.14,2.77,14.16,80.59,33105.75,32262.19,33308.90,Attempt 73126;Success 41985,Empty,Empty
MODEL_NAME:PCS;TA:0.90;TA_DURATION120.00;CHANNELS_PER_CELL1000;TA_CHANGE:50.00,8,8,0.00,50,31.25,0.00,0.00,0.00,0.00,918414.25,918414.25,-nan,Attempt 0;Success 0,Empty,Empty
MODEL_NAME:PCS;TA:0.90;TA_DURATION120.00;CHANNELS_PER_CELL1000;TA_CHANGE:50.00,8,9,2.00,50,3642.27,0.51,2.43,25.50,65.19,50942.91,54738.31,48916.56,Attempt 28064;Success 17838,Empty,Empty
MODEL_NAME:PHOLD;LOOP:100;FAN_OUT1,8,9,2.00,50,14029.58,1.70,1.21,16.13,65.24,23972.75,24418.91,23735.05,Attempt 32822;Success 29437,Empty,Empty
MODEL_NAME:PHOLD_BROADCAST;LOOP:100;THR_PROB_NORMAL:1.00,8,9,2.00,50,4152.01,1.00,2.85,11.45,82.78,33690.22,32144.24,34011.86,Attempt 63530;Success 39872,Empty,Empty
MODEL_NAME:PHOLD_MULTICAST;LOOP:100;THR_PROB_NORMAL:1.00,8,9,2.00,50,3897.97,1.03,2.86,11.69,82.65,34626.48,33675.86,34826.03,Attempt 61357;Success 38510,Empty,Empty
MODEL_NAME:PHOLD_NEARS;LOOP:100;NUM_NEARS:1,8,9,2.01,50,826.54,0.45,2.13,45.01,53.13,31673.52,32413.14,31021.15,Attempt 22699;Success 11034,Empty,Empty
MODEL_NAME:PHOLD_NEARS_RANDOM;LOOP:100;NUM_NEARS:1;COEFF:0.10,8,9,2.00,50,7157.83,0.61,2.12,25.15,61.19,30724.65,31100.67,30486.11,Attempt 26262;Success 13705,Empty,Empty
MODEL_NAME:PCS;TA:0.90;TA_DURATION:120.00;CHANNELS_PER_CELL1000;TA_CHANGE:50.00,8,9,2.00,50,3852.24,0.51,2.44,25.41,65.06,49595.02,53047.16,47741.11,Attempt 29283;Success 18544,Empty,Empty
